Key,Summary,Status,Issue Type,Priority,Created,Updated,Due Date,Assignee,Reporter,Link,Update_Due_Date,Meeting_Comments
PR-2001,Dashboard charts render blank on Firefox (case 1),Closed,Problem Report,Medium,2025-10-07T16:15:22.000+0000,2026-03-01T16:15:22.000+0000,2026-02-04,Eve Santos,James Taylor,https://jira.example.com/browse/PR-2001,,
PR-2002,File upload fails for files > 50MB (case 2),Root Cause Analysis,Problem Report,Low,2025-09-29T16:15:22.000+0000,2026-02-20T16:15:22.000+0000,,Bob Chen,Nate Williams,https://jira.example.com/browse/PR-2002,,
PR-2003,Timezone mismatch in scheduled reports (case 3),Root Cause Analysis,Problem Report,Medium,2025-12-30T16:15:22.000+0000,2026-03-25T16:15:22.000+0000,2026-01-22,Grace Kim,James Taylor,https://jira.example.com/browse/PR-2003,,
PR-2004,Memory leak in notification service (case 4),Closed,Problem Report,High,2026-04-27T16:15:22.000+0000,2026-04-27T16:15:22.000+0000,2026-07-15,Charlie Kumar,Maria Lopez,https://jira.example.com/browse/PR-2004,,
PR-2005,Search indexer crashes on Unicode input (case 5),Root Cause Analysis,Problem Report,High,2025-11-04T16:15:22.000+0000,2026-01-05T16:15:22.000+0000,,Grace Kim,Paul Davis,https://jira.example.com/browse/PR-2005,,
PR-2006,Login fails intermittently on Safari (case 6),Reopened,Problem Report,Medium,2025-11-28T16:15:22.000+0000,2026-04-12T16:15:22.000+0000,,Charlie Kumar,James Taylor,https://jira.example.com/browse/PR-2006,,
PR-2007,CSV export truncates rows beyond 10k (case 7),Closed,Problem Report,High,2026-02-22T16:15:22.000+0000,2026-03-07T16:15:22.000+0000,2026-06-22,Charlie Kumar,Paul Davis,https://jira.example.com/browse/PR-2007,,
PR-2008,Timezone mismatch in scheduled reports (case 8),Reopened,Problem Report,Low,2026-01-14T16:15:22.000+0000,2026-02-09T16:15:22.000+0000,,Eve Santos,Olivia Brown,https://jira.example.com/browse/PR-2008,,
PR-2009,Memory leak in notification service (case 9),Reopened,Problem Report,High,2025-12-24T16:15:22.000+0000,2026-01-06T16:15:22.000+0000,,Charlie Kumar,James Taylor,https://jira.example.com/browse/PR-2009,,
PR-2010,API returns 500 on concurrent batch uploads (case 10),Reopened,Problem Report,High,2026-04-30T16:15:22.000+0000,2026-05-02T16:15:22.000+0000,2026-05-23,Frank Muller,Olivia Brown,https://jira.example.com/browse/PR-2010,,
PR-2011,File upload fails for files > 50MB (case 11),Open,Problem Report,Medium,2025-07-18T16:15:22.000+0000,2025-10-02T16:15:22.000+0000,2025-08-03,Eve Santos,Paul Davis,https://jira.example.com/browse/PR-2011,,
PR-2012,Search indexer crashes on Unicode input (case 12),Open,Problem Report,Low,2026-02-15T16:15:22.000+0000,2026-03-26T16:15:22.000+0000,2026-02-27,Bob Chen,Maria Lopez,https://jira.example.com/browse/PR-2012,,
PR-2013,User session expires prematurely after MFA (case 13),Reopened,Problem Report,High,2026-03-10T16:15:22.000+0000,2026-04-05T16:15:22.000+0000,2026-05-27,Bob Chen,Maria Lopez,https://jira.example.com/browse/PR-2013,,
PR-2014,API returns 500 on concurrent batch uploads (case 14),Reopened,Problem Report,Low,2026-01-31T16:15:22.000+0000,2026-02-03T16:15:22.000+0000,,Grace Kim,Olivia Brown,https://jira.example.com/browse/PR-2014,,
PR-2015,Mobile app crashes on Android 14 cold start (case 15),Open,Problem Report,Low,2025-12-25T16:15:22.000+0000,2026-01-21T16:15:22.000+0000,2026-04-11,Bob Chen,Maria Lopez,https://jira.example.com/browse/PR-2015,,
PR-2016,SSO redirect loop on Chrome incognito (case 16),In Progress,Problem Report,High,2025-09-08T16:15:22.000+0000,2026-03-30T16:15:22.000+0000,2025-12-29,Frank Muller,Maria Lopez,https://jira.example.com/browse/PR-2016,,
PR-2017,Audit log missing entries for bulk operations (case 17),Root Cause Analysis,Problem Report,High,2025-10-09T16:15:22.000+0000,2025-10-26T16:15:22.000+0000,2026-02-03,Eve Santos,Olivia Brown,https://jira.example.com/browse/PR-2017,,
PR-2018,Slow query on order history endpoint (>5s p99) (case 18),Root Cause Analysis,Problem Report,High,2025-07-31T16:15:22.000+0000,2025-09-28T16:15:22.000+0000,2025-08-10,Charlie Kumar,James Taylor,https://jira.example.com/browse/PR-2018,,
PR-2019,Audit log missing entries for bulk operations (case 19),Root Cause Analysis,Problem Report,High,2026-03-07T16:15:22.000+0000,2026-04-22T16:15:22.000+0000,2026-04-27,Eve Santos,James Taylor,https://jira.example.com/browse/PR-2019,,
PR-2020,Email notifications delayed by 30+ minutes (case 20),Open,Problem Report,Medium,2025-10-16T16:15:22.000+0000,2025-12-03T16:15:22.000+0000,,Alice Martin,Paul Davis,https://jira.example.com/browse/PR-2020,,
PR-2021,Search indexer crashes on Unicode input (case 21),Fix Deployed,Problem Report,Critical,2025-07-30T16:15:22.000+0000,2025-11-07T16:15:22.000+0000,,Frank Muller,Nate Williams,https://jira.example.com/browse/PR-2021,,
PR-2022,CSV export truncates rows beyond 10k (case 22),Root Cause Analysis,Problem Report,Medium,2025-11-22T16:15:22.000+0000,2025-12-23T16:15:22.000+0000,,Frank Muller,Olivia Brown,https://jira.example.com/browse/PR-2022,,
PR-2023,API returns 500 on concurrent batch uploads (case 23),In Progress,Problem Report,High,2025-11-15T16:15:22.000+0000,2026-04-05T16:15:22.000+0000,2025-12-29,Dana Fischer,Maria Lopez,https://jira.example.com/browse/PR-2023,,
PR-2024,Email notifications delayed by 30+ minutes (case 24),Root Cause Analysis,Problem Report,High,2025-07-14T16:15:22.000+0000,2025-07-14T16:15:22.000+0000,2025-09-29,Grace Kim,Paul Davis,https://jira.example.com/browse/PR-2024,,
PR-2025,File upload fails for files > 50MB (case 25),Fix Deployed,Problem Report,Medium,2025-11-18T16:15:22.000+0000,2026-01-11T16:15:22.000+0000,2026-01-20,Grace Kim,Maria Lopez,https://jira.example.com/browse/PR-2025,,
PR-2026,User session expires prematurely after MFA (case 26),Root Cause Analysis,Problem Report,Critical,2026-03-19T16:15:22.000+0000,2026-04-28T16:15:22.000+0000,2026-06-18,Grace Kim,Maria Lopez,https://jira.example.com/browse/PR-2026,,
PR-2027,Login fails intermittently on Safari (case 27),Open,Problem Report,High,2025-11-24T16:15:22.000+0000,2025-12-31T16:15:22.000+0000,2025-12-26,Dana Fischer,Paul Davis,https://jira.example.com/browse/PR-2027,,
PR-2028,Dashboard charts render blank on Firefox (case 28),Reopened,Problem Report,Medium,2026-03-25T16:15:22.000+0000,2026-04-30T16:15:22.000+0000,2026-07-23,Dana Fischer,Olivia Brown,https://jira.example.com/browse/PR-2028,,
PR-2029,Slow query on order history endpoint (>5s p99) (case 29),Open,Problem Report,Medium,2025-12-28T16:15:22.000+0000,2025-12-28T16:15:22.000+0000,2026-04-02,Bob Chen,Maria Lopez,https://jira.example.com/browse/PR-2029,,
PR-2030,Slow query on order history endpoint (>5s p99) (case 30),Open,Problem Report,Medium,2025-08-09T16:15:22.000+0000,2025-12-14T16:15:22.000+0000,2025-10-26,Grace Kim,Olivia Brown,https://jira.example.com/browse/PR-2030,,
PR-2031,Audit log missing entries for bulk operations (case 31),Fix Deployed,Problem Report,Medium,2025-08-03T16:15:22.000+0000,2026-01-12T16:15:22.000+0000,,Frank Muller,Paul Davis,https://jira.example.com/browse/PR-2031,,
PR-2032,Payment webhook retries cause duplicate charges (case 32),In Progress,Problem Report,Medium,2025-09-25T16:15:22.000+0000,2026-02-12T16:15:22.000+0000,,Dana Fischer,Olivia Brown,https://jira.example.com/browse/PR-2032,,
PR-2033,Audit log missing entries for bulk operations (case 33),Closed,Problem Report,Medium,2025-12-20T16:15:22.000+0000,2026-02-28T16:15:22.000+0000,,Bob Chen,Nate Williams,https://jira.example.com/browse/PR-2033,,
PR-2034,Email notifications delayed by 30+ minutes (case 34),Root Cause Analysis,Problem Report,High,2025-09-18T16:15:22.000+0000,2025-11-17T16:15:22.000+0000,2025-10-31,Eve Santos,James Taylor,https://jira.example.com/browse/PR-2034,,
PR-2035,CSV export truncates rows beyond 10k (case 35),In Progress,Problem Report,Critical,2026-02-20T16:15:22.000+0000,2026-03-11T16:15:22.000+0000,2026-04-17,Dana Fischer,Nate Williams,https://jira.example.com/browse/PR-2035,,
PR-2036,SSO redirect loop on Chrome incognito (case 36),Fix Deployed,Problem Report,High,2025-07-28T16:15:22.000+0000,2025-11-10T16:15:22.000+0000,2025-08-11,Grace Kim,Paul Davis,https://jira.example.com/browse/PR-2036,,
PR-2037,User session expires prematurely after MFA (case 37),Fix Deployed,Problem Report,Medium,2026-04-21T16:15:22.000+0000,2026-05-03T16:15:22.000+0000,,Charlie Kumar,Nate Williams,https://jira.example.com/browse/PR-2037,,
PR-2038,File upload fails for files > 50MB (case 38),Reopened,Problem Report,Medium,2025-10-14T16:15:22.000+0000,2026-01-29T16:15:22.000+0000,,Grace Kim,Paul Davis,https://jira.example.com/browse/PR-2038,,
PR-2039,Payment webhook retries cause duplicate charges (case 39),Open,Problem Report,High,2026-01-09T16:15:22.000+0000,2026-03-05T16:15:22.000+0000,2026-02-19,Frank Muller,Olivia Brown,https://jira.example.com/browse/PR-2039,,
PR-2040,User session expires prematurely after MFA (case 40),Closed,Problem Report,Critical,2026-02-06T16:15:22.000+0000,2026-02-22T16:15:22.000+0000,,Dana Fischer,Paul Davis,https://jira.example.com/browse/PR-2040,,
PR-2041,Timezone mismatch in scheduled reports (case 41),Fix Deployed,Problem Report,Critical,2025-07-17T16:15:22.000+0000,2025-08-28T16:15:22.000+0000,,Dana Fischer,Maria Lopez,https://jira.example.com/browse/PR-2041,,
PR-2042,Payment webhook retries cause duplicate charges (case 42),Root Cause Analysis,Problem Report,High,2026-04-06T16:15:22.000+0000,2026-04-12T16:15:22.000+0000,2026-05-24,Dana Fischer,Nate Williams,https://jira.example.com/browse/PR-2042,,
PR-2043,Login fails intermittently on Safari (case 43),Reopened,Problem Report,Medium,2025-09-28T16:15:22.000+0000,2026-01-26T16:15:22.000+0000,2025-10-15,Charlie Kumar,Maria Lopez,https://jira.example.com/browse/PR-2043,,
PR-2044,Audit log missing entries for bulk operations (case 44),Open,Problem Report,Low,2026-03-27T16:15:22.000+0000,2026-03-29T16:15:22.000+0000,,Bob Chen,James Taylor,https://jira.example.com/browse/PR-2044,,
PR-2045,User session expires prematurely after MFA (case 45),In Progress,Problem Report,Medium,2026-02-12T16:15:22.000+0000,2026-02-26T16:15:22.000+0000,2026-04-20,Charlie Kumar,Nate Williams,https://jira.example.com/browse/PR-2045,,
